sampleID	genepop_pop	pop	.sample.id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
23-12188,	23-07451,	Pelee_Island	61	0.06824872683902813	-0.07773779382053926	-0.011272457509968425	-0.0436090460761514	0.08109734435920658	9.91087902040019e-4	0.03157590603848403	-0.016389651429968767	0.021390874883627228
23-12189,	23-07451,	Pelee_Island	62	0.03381087447146127	-0.0031266513967485024	0.019039126802260078	-0.06187989002251081	0.012088938143823865	-0.07840557073527382	0.025447570018197325	0.021701062118344043	-0.03270969507182359
23-12190,	23-07451,	Pelee_Island	63	-0.13479123414838737	-0.07082560379754871	0.07188013974878701	-0.11734728880857946	0.006234979264360623	-0.06381516281149663	-0.032082893799587335	0.056564462629523	0.06274029769400988
23-12191,	23-07451,	Pelee_Island	64	-0.030248892548936365	-0.05851891771206976	0.07134291902683788	-0.07865920308477903	0.0065341001443076354	-0.04082320865682003	-0.07649611198385396	0.010025290793376662	-0.02247454095394603
23-12192,	23-07451,	Pelee_Island	65	-0.006230709769894046	-0.09837064536991076	-0.06515282972513865	-0.03971048265809111	0.057014169909120505	0.056628806596298535	0.025728925495659298	0.022905528301086116	0.03862939292713294
23-12193,	23-07451,	Pelee_Island	66	0.06718081642966157	0.020762191012897665	-0.022757966301763	0.07461107637179044	0.010682763846922691	-0.03686602518069985	0.023286134322968794	-0.016522364831823223	0.018788678300954043
23-12194,	23-07451,	Pelee_Island	67	0.010650744991435153	0.05892957665270537	-0.039410377933941476	-0.0064676054604013355	0.03460109248340393	0.019868204475289142	-0.0888132523501919	0.0999208422932451	-0.07690729221155551
23-12195,	23-07451,	Pelee_Island	68	0.045291146645982626	0.06538355568803154	-0.04977214869768995	-0.017355714841199358	0.01807440674275123	0.002064116100924119	-0.0433534125626622	0.01955685047922475	0.005311150660576921
23-12196,	23-07451,	Pelee_Island	69	-0.0038121401569441	-0.04562851275697933	-0.0631577824365844	0.024277019841618206	0.0635447526295173	-0.06502579826851881	0.02430168429427354	0.10182133148768774	-0.010533849120469969
23-12197,	23-07451,	Pelee_Island	70	-0.01025749758185744	0.004148497830706906	-0.01858283634190318	-0.03234648853132253	-0.04660935826244878	-0.10095272693205115	-0.1560740603666296	0.0033220027382450876	0.06844324533139877
